id,text
EDI/API,"Spike in DLQ messages after routine maintenance; consumer group lag increased across EDI topic. Partner Partner-B reported delayed acknowledgements; PSA Pasir Panjang ops not impacted. Context tokens: SAA, OGSMAASIN2500436. All numeric identifiers are randomized placeholders; no credentials stored. | Corrected cron schedule to UTC; added mutual exclusion lock and run-idempotency; published sanitized incident note and fixed dashboards. Communications used masked ticket references where applicable. | Corrected cron schedule to UTC; added mutual exclusion lock and run-idempotency; published sanitized incident note and fixed dashboards. Communications used masked ticket references where applicable."
Vessel,"The vessel’s estimated arrival time (ETA) data was not properly synchronized with the berth scheduling system, resulting in a missed ETB slot and delay in operational processes. | Escalate to Vessel Product Team | Escalate to Vessel Product Team"
Container Booking,"Discrepancy between customer portal and TOS for container NYKU3844865 on voyage VA61. Portal shows 'Loaded @ TP04' while TOS indicates 'In Yard - Block D2'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-GOL0W82L and seal S5592-3OE included (randomized placeholders). Yard crane YC22 handled the last move at PSA Keppel. | Fixed API mapping for party roles and flushed CDN. Repaired affected records (voyage VA61); set monitors for attribute flip-flop bursts. All identifiers are randomized placeholders. | Fixed API mapping for party roles and flushed CDN. Repaired affected records (voyage VA61); set monitors for attribute flip-flop bursts. All identifiers are randomized placeholders."
EDI/API,Rate limiter throttled legitimate traffic after load surge. Hot keys on '/manifest/validate' created cache stampede; error budget burned for the window. All numeric identifiers are randomized placeholders; no credentials stored. | Scaled read replicas and split hot key namespaces; added half-open probes to breaker; restored normal delivery and rebuilt backlog safely. Communications used masked ticket references where applicable. | Scaled read replicas and split hot key namespaces; added half-open probes to breaker; restored normal delivery and rebuilt backlog safely. Communications used masked ticket references where applicable.
EDI/API,Rate limiter throttled legitimate traffic after load surge. Hot keys on '/webhooks/delivery/PTNS1F' created cache stampede; error budget burned for the window. Context tokens: CS0048693. All numeric identifiers are randomized placeholders; no credentials stored. | Scaled read replicas and split hot key namespaces; added half-open probes to breaker; restored normal delivery and rebuilt backlog safely. Communications used masked ticket references where applicable. | Scaled read replicas and split hot key namespaces; added half-open probes to breaker; restored normal delivery and rebuilt backlog safely. Communications used masked ticket references where applicable.
EDI/API,"Shipper/consignee role swap observed on API payload for HLCU9588926. Upstream denormalization reversed NAD qualifiers; billing prep failed validation. Partner: Partner-A; affected terminal: Pasir Panjang Terminal 2. Context tokens: S2S1EDIM, PSATERMINL-EXIT. All numeric identifiers are randomized placeholders; no credentials stored. | Patched mapper to respect NAD roles; added tests for role inversion; flushed CDN. Sent sanitized incident summary to stakeholders; identifiers masked. Communications used masked ticket references where applicable. | Patched mapper to respect NAD roles; added tests for role inversion; flushed CDN. Sent sanitized incident summary to stakeholders; identifiers masked. Communications used masked ticket references where applicable."
Container Report,"Translator rejected EDIFACT COARRI for TGHU1929557: segment count mismatch, sequence skipped 018→019→021. Missing public milestone though warehouse shows correct move. | Engaged partner; shared sanitized samples; added pre-ingest normalizer for qualifiers; updated monitoring for repeated segment anomalies. | Engaged partner; shared sanitized samples; added pre-ingest normalizer for qualifiers; updated monitoring for repeated segment anomalies."
EDI/API,Translator rejected BAPLIE: missing BGM count alignment (UNH/UNT mismatch). Partner Partner-A interchange quarantined; downstream milestone not created. All numeric identifiers are randomized placeholders; no credentials stored. | Implemented pre-ingest normalizer for qualifiers; updated partner IG notes; enabled anomaly detection for repeated segment errors exceeds threshold. Communications used masked ticket references where applicable. | Implemented pre-ingest normalizer for qualifiers; updated partner IG notes; enabled anomaly detection for repeated segment errors exceeds threshold. Communications used masked ticket references where applicable.
Vessel,"Schedule API intermittently returns 500 for MV OCEAN DAWN/25W; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at PSA Pasir Panjang. All numeric identifiers are randomized placeholders; no credentials stored. | Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable. | Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable."
EDI/API,OAuth token rejection spikes on '/auth/token'. Clock skew across nodes yielded 401/403 bursts; clients observed partial responses before circuit opened. Context tokens: HLCUPN7241107580. All numeric identifiers are randomized placeholders; no credentials stored. | Scaled read replicas and split hot key namespaces; added half-open probes to breaker; restored normal delivery and rebuilt backlog safely. Communications used masked ticket references where applicable. | Scaled read replicas and split hot key namespaces; added half-open probes to breaker; restored normal delivery and rebuilt backlog safely. Communications used masked ticket references where applicable.
Container Booking,Mismatched shipment party codes for EMCU7870680. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: Pasir Panjang Terminal 2; booking BK-965K55DM. | Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference. | Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference.
Container Booking,502 responses and timeouts on '/bookings/search' when querying NYKU4022802. slowest 5% of requests latency > 10s; retries exhausted—gaps visible in customer timeline. Coincides with partner load test near PSA Keppel. | Tuned retry backoff and timeouts; scaled read replicas; enabled request coalescing. Rotated OAuth keys and hard-synced NTP; added idempotency on callbacks. | Tuned retry backoff and timeouts; scaled read replicas; enabled request coalescing. Rotated OAuth keys and hard-synced NTP; added idempotency on callbacks.
Container Booking,Mismatched shipment party codes for EMCU7296193. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: Tuas Port; booking BK-SBELRQVS. | Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference. | Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference.
Container Booking,Mismatched shipment party codes for NYKU1045869. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: PSA Tanjong Pagar; booking BK-WXE6SYLZ. | Escalate to Container Product Team | Escalate to Container Product Team
EDI/API,Cron for backfill job misfired after DST adjustment; two runs overlapped causing duplicate API publications for the same event batch. All numeric identifiers are randomized placeholders; no credentials stored. | Tightened alert thresholds with burn-rate alerts; added synthetic probes; ran retro review and updated runbooks. Communications used masked ticket references where applicable. | Tightened alert thresholds with burn-rate alerts; added synthetic probes; ran retro review and updated runbooks. Communications used masked ticket references where applicable.
EDI/API,ANSI X12 315 duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. Context tokens: YYYY-MM-DD. All numeric identifiers are randomized placeholders; no credentials stored. | Enabled conflict resolution preferring max(eventTime); patched translator for partner-specific tolerance; reprocessed from quarantine; verified pipeline end-to-end. Communications used masked ticket references where applicable. | Enabled conflict resolution preferring max(eventTime); patched translator for partner-specific tolerance; reprocessed from quarantine; verified pipeline end-to-end. Communications used masked ticket references where applicable.
EDI/API,"Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-B, while TOS computed local UTC+8. Container OOCL2335649 milestones appeared out-of-order on the portal; ANSI X12 315 'Gate Out' overshadowed later 'Loaded' event. Booking BK-19W6JHTN not impacted operationally but customer view inconsistent. Context tokens: SINGAPORE. All numeric identifiers are randomized placeholders; no credentials stored. | Escalate to EDIAPI Product Team | Escalate to EDIAPI Product Team"
EDI/API,"Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-E, while TOS computed local UTC+8. Container CMAU8766540 milestones appeared out-of-order on the portal; BAPLIE 'Gate Out' overshadowed later 'Loaded' event. Booking BK-KLAZQINV not impacted operationally but customer view inconsistent. All numeric identifiers are randomized placeholders; no credentials stored. | Escalate to EDIAPI Product Team | Escalate to EDIAPI Product Team"
EDI/API,"Spike in DLQ messages after routine maintenance; consumer group lag increased across EDI topic. Partner Partner-C reported delayed acknowledgements; Tuas Port ops not impacted. Context tokens: ERROR, CODECO. All numeric identifiers are randomized placeholders; no credentials stored. | Scaled consumers and rebalanced partitions; drained DLQ with rate control; enabled poison-message quarantine and added SLO alerting. Communications used masked ticket references where applicable. | Scaled consumers and rebalanced partitions; drained DLQ with rate control; enabled poison-message quarantine and added SLO alerting. Communications used masked ticket references where applicable."
Container Booking,Mismatched shipment party codes for HLCU7575030. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: PSA Keppel; booking BK-DRC11ERT. | Mismatched shipment party codes for HLCU7575030. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: PSA Keppel; booking BK-DRC11ERT.': Fixed API mapping for party roles and flushed CDN. Repaired affected records (voyage QS19); set monitors for attribute flip-flop bursts. All identifiers are randomized placeholders. | Mismatched shipment party codes for HLCU7575030. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: PSA Keppel; booking BK-DRC11ERT.': Fixed API mapping for party roles and flushed CDN. Repaired affected records (voyage QS19); set monitors for attribute flip-flop bursts. All identifiers are randomized placeholders.
EDI/API,"Field mapping mismatch across systems for container MAEU9006195. Partner Partner-A posted ANSI X12 315 with size/type as 22G1, but our master lists 45R1. Public API reflected partner payload, breaking yard slotting at Tuas Port. Booking BK-YEW2I334 shows reefer flag OFF while TOS maintains ON. Audit indicates stale backfill job re-applied older attributes. Context tokens: FYI. All numeric identifiers are randomized placeholders; no credentials stored. | Normalized eventTime to port timezone and added ingestion check to convert to UTC then localize. Re-sequenced milestones and republished to API/portal. Enabled alert on cross-system timestamp divergence > 30 minutes. Communications used masked ticket references where applicable. | Normalized eventTime to port timezone and added ingestion check to convert to UTC then localize. Re-sequenced milestones and republished to API/portal. Enabled alert on cross-system timestamp divergence > 30 minutes. Communications used masked ticket references where applicable."
Container Report,Duplicate ANSI X12 315 received with conflicting eventTime for MSCU3047419. Later message had older timestamp; last-writer-wins regressed status. | Engaged partner; shared sanitized samples; added pre-ingest normalizer for qualifiers; updated monitoring for repeated segment anomalies. | Engaged partner; shared sanitized samples; added pre-ingest normalizer for qualifiers; updated monitoring for repeated segment anomalies.
Vessel,"ANSI X12 315 inconsistency for MV TITAN CREST/19E: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored. | Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable. | Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable."
Vessel,"ETA/ETB mismatch for MV CORAL WAVE (IMO 3427522, CS-52OJA) on voyage 105N. Berth plan shows ETB at BP02 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Tanjong Pagar reflects older figures. Pilotage request pending; quay Q1 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored. | Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable. | Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable."
Container Report,Duplicate ANSI X12 214 received with conflicting eventTime for EMCU4728808. Later message had older timestamp; last-writer-wins regressed status. | Engaged partner; shared sanitized samples; added pre-ingest normalizer for qualifiers; updated monitoring for repeated segment anomalies. | Engaged partner; shared sanitized samples; added pre-ingest normalizer for qualifiers; updated monitoring for repeated segment anomalies.
Vessel,"ETA/ETB mismatch for MV PACIFIC GLORY (IMO 8965197, CS-5IQN5) on voyage 19E. Berth plan shows ETB at BP02 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at Pasir Panjang Terminal 2 reflects older figures. Pilotage request pending; quay Q1 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored. | Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable. | Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable."
Container Booking,"Discrepancy between customer portal and TOS for container EITU4714044 on voyage BT21. Portal shows 'Loaded @ BP05' while TOS indicates 'In Yard - Block F6'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-QIN9N6XC and seal S5520-GE4 included (randomized placeholders). Yard crane YC26 handled the last move at PSA Pasir Panjang. | Discrepancy between customer portal and TOS for container EITU4714044 on voyage BT21. Portal shows 'Loaded @ BP05' while TOS indicates 'In Yard - Block F6'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-QIN9N6XC and seal S5520-GE4 included (randomized placeholders). Yard crane YC26 handled the last move at PSA Pasir Panjang.': Fixed API mapping for party roles and flushed CDN. Repaired affected records (voyage BT21); set monitors for attribute flip-flop bursts. All identifiers are randomized placeholders. | Discrepancy between customer portal and TOS for container EITU4714044 on voyage BT21. Portal shows 'Loaded @ BP05' while TOS indicates 'In Yard - Block F6'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-QIN9N6XC and seal S5520-GE4 included (randomized placeholders). Yard crane YC26 handled the last move at PSA Pasir Panjang.': Fixed API mapping for party roles and flushed CDN. Repaired affected records (voyage BT21); set monitors for attribute flip-flop bursts. All identifiers are randomized placeholders."
EDI/API,Cron for backfill job misfired after DST adjustment; two runs overlapped causing duplicate API publications for the same event batch. All numeric identifiers are randomized placeholders; no credentials stored. | Scaled consumers and rebalanced partitions; drained DLQ with rate control; enabled poison-message quarantine and added SLO alerting . Communications used masked ticket references where applicable. | Scaled consumers and rebalanced partitions; drained DLQ with rate control; enabled poison-message quarantine and added SLO alerting . Communications used masked ticket references where applicable.
Vessel,"Schedule API intermittently returns 502 for MV AURORA BAY/001W; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at PSA Tanjong Pagar. All numeric identifiers are randomized placeholders; no credentials stored. | Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable. | Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable."
